Genero Residencia HorasEstudio Empleo Actividades Colegio x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 Nota_AlgebraLineal Nota_IntroduccionIng Nota_Humanidades
1 1 3 1 1 1 1 2 1 1 2 3 4 3 3 4 1 4 4 4 4 56.29343754654644 74.24497524422992 60.65120722200047
0 0 2 1 1 0 1 4 1 1 1 3 3 2 3 3 4 1 1 2 1 36.206313846561144 39.173745243336356 57.537837639478916
1 1 1 1 1 1 2 5 1 2 2 4 4 4 4 4 1 5 4 5 5 53.403669818590814 74.71425394809702 55.194887124534915
1 0 1 0 1 0 2 1 3 2 2 2 2 1 2 3 3 2 2 3 2 31.01616802258135 56.358359588045175 50.80277165131228
1 1 1 0 1 0 5 3 5 4 5 4 4 5 5 4 2 4 4 4 4 69.72073120958756 61.163401950228256 51.245081579781434
1 1 4 1 1 0 2 2 1 2 3 5 5 4 4 5 4 4 5 5 5 79.51774992793527 75.63953613461483 73.68099894237784
0 1 3 1 1 0 4 2 3 4 4 1 2 1 1 1 3 3 3 4 4 44.791348307818716 70.48086689221148 59.3706140663084
1 1 1 1 0 1 1 2 1 1 1 5 5 4 5 4 4 5 5 5 5 61.312570687430195 77.31300530598239 51.09164316373157
1 0 2 0 0 0 3 4 3 3 5 1 1 4 1 1 4 3 3 4 3 52.12455695767833 55.202400727925436 46.633861735921776
0 0 1 1 1 0 1 4 2 2 1 4 4 4 4 4 4 2 1 2 1 38.29242335438128 42.890192189564644 33.3782889241373
1 0 3 1 1 0 2 5 2 2 3 1 1 1 1 1 2 2 3 2 2 42.48629123292463 60.46560456235212 83.05291897857704
0 0 4 1 0 0 1 2 2 2 2 2 2 1 2 2 4 1 2 1 1 36.284301935329765 38.910429284750464 49.95759334379014
0 0 3 0 1 1 4 3 4 3 4 1 1 5 1 1 2 2 1 2 2 27.361422664629416 45.21208323581774 36.51316774805955
0 1 1 1 1 0 1 2 1 1 1 2 2 5 2 2 1 4 4 3 4 44.83248128973534 59.76862178113593 46.95233003724398
1 0 2 1 0 1 3 1 4 4 3 3 3 4 3 3 2 3 3 3 4 31.924138710020404 44.95891088947606 47.590629682907796
1 0 3 1 1 0 5 4 5 5 4 2 2 1 2 2 4 3 3 3 3 67.67953669825197 57.348510046159205 47.86176099531317
1 1 2 1 1 1 1 5 1 1 1 5 5 4 5 5 3 5 5 5 5 70.06095219807423 78.82759721109966 93.88870612092715
0 1 1 0 1 1 4 3 3 4 4 4 3 5 3 4 4 4 4 4 4 45.33459379914209 53.14169557421452 61.40821214724633
0 1 1 1 0 0 5 3 4 5 5 5 5 2 5 5 3 4 4 4 4 66.56650931180278 61.30281992751485 18.713150850555458
0 1 4 1 0 1 4 4 4 4 5 4 4 5 4 4 1 4 4 4 4 68.2562043252542 68.6478941312688 36.67491121255413
0 1 1 1 0 1 4 1 5 5 3 5 5 1 5 5 1 5 5 4 5 62.66684626034779 71.34045551878378 50.71137784134512
1 1 3 1 1 0 1 5 1 1 2 2 3 5 3 2 4 5 5 5 5 55.658673206746094 82.36715379560502 53.459545092443435
0 1 4 1 1 1 4 2 3 3 2 3 3 1 3 3 2 4 4 4 4 59.334648487451574 74.46011895272937 55.9911654934391
0 1 3 1 1 1 4 5 4 5 3 2 3 1 1 2 4 4 3 4 4 43.230969166830114 67.62045988036671 39.97578250764427
